UserID,ItemID,Rating,Value,Rooms,Location,Cleanliness,FrontDesk,Service,BusinessService
46654,3964,5,5,4,4,5,5,5,5
46654,7032,4,4,4,2,5,5,5,5
46654,7027,5,5,5,5,5,5,5,3
46654,3818,5,5,4,5,5,5,5,3
46654,2334,4,4,3,4,5,4,4,3
46654,2397,4,5,4,5,4,4,4,4
46654,7012,4,4,4,5,4,5,4,4
46654,7056,4,4,2,4,4,3,3,3
46654,7044,5,4,5,5,5,5,5,4
46654,6593,4,3,4,5,5,3,4,4
46654,7049,5,4,5,5,4,5,5,0
46654,6021,3,5,5,5,5,5,5,0
46654,7038,5,5,5,5,5,5,5,3
46654,7042,4,4,4,3,5,5,2,4
46654,2004,5,4,5,5,5,5,5,4
46654,7035,3,3,4,3,4,4,2,5
46654,7018,5,4,4,4,5,4,5,3
46654,2122,5,5,5,5,5,5,5,5
46654,7058,5,3,4,5,5,4,5,5
46654,2241,3,3,4,4,4,4,4,3
46654,7013,4,4,4,4,5,5,4,3
46654,7034,5,5,4,3,5,4,4,5
46654,7045,4,5,4,5,5,5,5,5
46654,2129,4,3,3,5,4,4,4,4
46677,4765,4,4,4,5,4,4,5,3
46677,19709,2,4,3,4,3,4,3,3
46677,16519,4,4,5,4,5,3,4,5
46677,3389,4,4,4,4,4,4,5,3
46677,10989,2,2,1,2,1,1,1,3
46677,22970,4,3,2,5,3,2,2,3
46677,741,5,4,5,4,5,3,5,4
46677,19643,5,5,5,5,5,5,5,5
46677,4538,5,5,5,5,5,5,5,0
46677,1229,4,4,3,5,3,5,4,2
46677,19022,5,5,5,5,5,5,5,5
46677,48194,4,4,4,4,4,3,5,0
46677,25260,2,3,4,4,4,4,4,3
46677,48193,5,4,3,5,4,5,5,4
46677,40077,4,3,4,4,4,3,3,2
46670,20311,4,3,4,5,5,4,5,0
46670,15874,2,2,2,5,3,1,1,0
46670,25372,2,2,2,5,2,2,2,0
46670,20026,5,5,5,5,5,5,5,2
46670,9106,4,4,4,5,4,5,4,4
46670,2787,2,3,2,3,5,4,5,0
46670,7084,4,4,4,5,4,5,4,0
46670,24677,5,5,3,5,4,4,4,3
46670,11828,1,1,2,2,2,1,1,2
46670,10315,3,3,3,4,3,1,2,3
46670,19973,2,2,4,5,4,2,1,3
46670,16760,5,5,5,5,5,4,5,3
46670,5359,5,5,5,5,5,5,5,5
46670,36133,4,3,4,5,5,4,5,0
46670,47952,4,4,5,5,5,5,5,5
35701,31992,5,5,5,4,5,5,5,4
35701,28760,4,5,5,5,5,5,5,5
35701,31997,5,4,3,3,5,5,5,3
35701,32007,3,3,2,2,3,3,3,0
35701,21711,4,4,4,4,4,4,4,0
35701,5003,5,5,4,4,4,5,4,0
35701,12842,5,5,5,5,5,5,5,5
35701,32000,4,4,4,4,4,4,4,2
35701,31999,4,4,4,4,4,4,3,0
35701,32009,5,5,5,4,5,5,5,3
35701,17689,3,3,2,2,2,3,3,3
35701,20611,4,2,2,2,3,3,1,3
35701,22968,4,4,5,4,5,4,4,4
35701,10472,3,1,1,1,1,1,1,1
35701,31996,4,3,5,3,5,3,5,3
35701,31998,5,5,5,4,5,5,5,0
35701,943,3,5,4,5,4,5,5,3
23684,4998,4,3,4,5,4,4,4,3
23684,855,4,3,4,5,3,3,3,0
23684,39113,3,1,1,4,2,4,2,0
23684,3022,4,5,5,5,5,5,5,5
23684,34376,5,4,4,4,5,3,4,0
23684,39110,4,4,4,4,5,4,3,0
23684,39105,2,2,2,4,2,3,2,0
23684,4318,4,4,4,4,4,4,4,0
23684,23454,4,3,3,3,2,4,4,3
23684,39102,3,3,3,4,3,3,3,3
23684,1785,4,3,4,4,4,4,3,0
23684,3054,4,5,5,5,4,5,5,0
23684,15386,4,3,4,4,3,5,5,3
23684,39103,3,3,3,3,3,4,3,3
23684,2028,4,5,5,4,4,5,4,0
23684,26706,2,3,2,4,2,3,2,0
23684,39107,4,4,4,3,4,4,4,4
23684,3072,4,4,4,3,5,5,5,5
23684,19606,3,1,3,4,3,3,3,2
23667,28167,3,2,3,3,2,2,3,0
23667,39023,4,4,5,4,5,5,5,3
23667,12190,5,5,5,4,5,5,5,5
23667,39021,5,5,5,4,5,5,5,5
23667,5571,4,4,3,5,3,3,4,0
23667,3853,4,4,4,4,3,4,3,3
23667,39025,5,5,5,5,5,5,5,5
23667,39018,4,5,4,5,5,5,5,5
23667,4742,4,4,4,4,5,5,4,5
23667,33967,3,3,4,4,4,3,3,3
23667,39020,5,5,5,4,5,4,4,0
23667,39016,3,4,2,5,2,5,5,0
23667,931,3,3,3,4,3,3,3,0
23667,19557,4,5,4,5,5,5,5,0
23667,8231,4,4,4,4,3,3,5,0
23667,13271,3,3,3,3,3,3,4,3
39665,40114,4,4,4,3,4,4,4,3
39665,5455,4,4,4,4,5,3,5,2
39665,9498,5,5,5,5,5,4,4,3
39665,2239,3,2,2,4,3,2,2,1
39665,13769,3,3,2,4,2,2,2,0
39665,25960,4,4,3,4,4,3,3,3
39665,30018,3,3,3,4,4,2,3,3
39665,6764,4,4,4,4,4,3,3,3
39665,44982,1,2,1,3,1,3,3,3
39665,44980,3,3,4,3,4,3,3,3
39665,10842,4,4,3,5,4,4,4,3
39665,44978,3,3,3,3,3,4,4,0
39665,44981,3,4,3,2,4,3,4,0
39665,23397,3,3,2,4,3,4,3,0
39665,11169,4,4,5,2,4,4,4,4
24670,14567,4,4,3,3,3,2,2,2
24670,2119,4,5,5,5,5,5,5,5
24670,13613,3,3,3,4,3,3,4,3
24670,29166,4,4,4,4,4,3,3,3
24670,8956,4,5,3,5,4,4,4,3
24670,4251,3,3,3,3,3,3,3,3
24670,9029,4,4,4,4,4,4,4,4
24670,43051,2,2,2,3,3,3,2,2
24670,25948,4,4,4,4,3,3,3,3
24670,26799,3,3,2,4,2,3,3,3
24670,28635,4,4,4,5,3,4,4,3
24670,30244,4,5,4,5,4,4,4,3
24670,2029,3,4,4,5,3,3,2,0
24670,17016,3,4,4,3,3,5,3,4
24670,24426,2,2,3,3,3,2,2,3
24670,35629,2,2,2,3,2,3,2,0
24670,43052,4,4,4,3,3,3,3,3
24670,17049,4,4,4,4,4,4,4,4
24670,27561,4,4,4,4,4,4,4,4
24670,29123,3,3,3,4,3,3,3,3
24670,6421,1,1,1,2,2,1,1,1
22531,34378,5,2,2,4,3,3,3,0
22531,31145,2,3,3,2,3,3,3,3
22531,17620,3,3,3,2,4,4,3,3
22531,34393,4,4,4,5,5,5,4,5
22531,30870,4,4,5,5,5,5,5,4
22531,7134,5,5,4,5,4,5,4,5
22531,34379,5,5,5,5,5,5,5,5
22531,642,3,2,3,4,4,3,4,3
22531,34372,3,5,3,5,4,5,4,5
22531,33862,2,4,4,4,3,5,5,3
22531,613,3,3,3,5,4,2,5,5
22531,34389,4,4,4,3,5,4,4,2
22531,21935,2,3,5,4,5,4,4,0
22531,3605,5,5,5,5,5,5,5,1
22531,24720,5,5,5,5,5,5,5,5
22531,4752,5,4,5,5,5,4,4,4
22531,34368,5,5,5,5,5,5,5,5
22531,5359,5,4,5,5,5,5,5,0
22531,828,1,1,2,3,2,1,1,5
22531,9659,4,3,3,5,3,4,2,4
22531,653,4,3,3,5,3,3,3,3
22531,22911,4,5,4,5,5,5,5,0
31425,19730,4,1,3,2,3,1,1,3
31425,2187,2,2,2,3,3,3,3,1
31425,15904,4,5,4,5,4,5,4,4
31425,22196,4,3,4,3,5,4,4,4
31425,5369,4,4,4,3,4,5,4,5
31425,4325,1,1,2,1,1,1,1,3
31425,900,4,3,5,5,5,4,3,5
31425,30056,3,4,3,4,3,3,2,0
31425,30053,4,4,5,5,5,5,5,3
31425,22979,2,3,2,5,4,4,4,0
31425,29211,4,5,4,5,4,5,4,5
31425,2419,2,2,3,4,3,1,2,2
31425,20154,3,1,4,2,5,5,4,4
31425,30060,3,3,3,4,5,5,5,5
31425,21994,4,1,1,2,1,3,1,1
24780,43497,2,2,4,1,2,2,1,1
24780,16223,3,3,3,3,2,1,2,0
24780,5167,5,5,5,5,5,5,5,0
24780,7599,3,3,4,5,4,4,4,3
24780,43492,1,2,2,4,3,1,1,0
24780,43487,3,3,3,4,2,5,5,3
24780,24062,4,3,4,4,5,4,5,0
24780,18656,2,3,5,5,3,5,3,0
24780,43494,3,4,5,5,5,3,2,2
24780,39516,5,5,5,5,5,5,5,5
24780,14833,2,3,3,3,2,1,2,1
24780,43499,3,3,3,5,3,3,3,1
24780,43493,5,5,5,5,5,5,5,5
24780,10902,5,5,5,5,5,5,5,4
24780,24771,3,3,4,4,4,4,3,1
24780,13254,4,4,5,3,5,5,5,1
24780,3480,1,1,1,2,3,1,1,0
24780,3840,5,5,5,5,5,5,5,0
24780,28373,4,5,3,5,5,5,5,4
38516,17164,3,3,3,3,4,3,3,0
38516,2413,4,3,4,4,5,3,5,3
38516,34441,3,2,2,5,2,5,3,0
38516,28322,4,4,5,5,3,4,4,0
38516,2175,4,4,4,4,5,5,5,3
38516,36331,5,5,5,5,5,5,5,0
38516,34193,1,1,1,5,1,3,1,0
38516,2008,5,4,5,5,5,5,5,0
38516,41136,5,5,5,5,5,5,5,5
38516,44914,4,3,3,3,4,5,4,0
38516,38580,3,3,3,5,3,4,4,0
38516,44909,2,2,2,3,2,3,2,0
38516,44916,4,4,3,5,3,5,3,0
38516,44910,4,4,4,5,3,5,5,4
38516,44925,4,5,4,5,5,5,4,0
38516,34404,5,5,4,4,5,5,5,5
38516,25375,4,4,3,5,3,5,3,0
38516,1821,5,5,3,5,5,5,3,0
38516,13745,4,4,5,5,5,4,4,0
38516,732,4,3,3,4,4,4,4,0
38516,44912,5,5,5,5,3,5,5,5
38516,26774,2,2,3,2,3,2,2,3
38516,21491,4,3,4,3,5,3,4,0
24741,43318,1,1,1,1,2,1,2,0
24741,29518,4,5,4,5,5,5,5,0
24741,11437,3,2,3,4,5,3,4,0
24741,43330,5,5,5,5,5,5,5,0
24741,10322,4,4,4,4,4,5,4,0
24741,43335,5,5,5,5,5,5,5,0
24741,27715,4,4,5,4,5,3,4,1
24741,43334,4,5,4,5,5,5,5,0
24741,43316,3,3,3,5,3,5,4,1
24741,9863,4,3,5,3,5,4,4,4
24741,32078,5,5,5,5,5,5,5,5
24741,43326,4,5,5,5,5,5,5,0
24741,43327,5,5,5,5,5,4,3,0
24741,30591,5,4,5,5,5,5,5,0
24741,43317,5,5,5,5,5,5,5,0
24741,43324,5,5,5,5,5,5,5,5
25823,15671,4,4,4,4,5,4,4,5
25823,26226,4,4,5,1,5,4,5,2
25823,18961,4,4,5,4,5,4,5,5
